Unnamed: 0,Job Id,Experience,Qualifications,Salary Range (K),Min Salary (K),Max Salary (K),Country,Work Type,Company Size,Job Posting Date,Predicted Industry,Job Title,Role,Job Portal,Job Description,Benefits,skills,Responsibilities,Company,Company Profile,Text,Cluster Name,Broader Category,Average Salary (K),Year-Quarter
371548,2856881013176007.0,3 to 9 Years,BA,64,62,126,Singapore,Contract,116695,2022-01-25,9,Paralegal,Litigation Paralegal,Idealist,"Assist in litigation cases, including document preparation, legal research, and trial support.","Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling","['Legal research""', 'Discovery management""', 'Case preparation""', 'Trial support""', 'Document review""', 'Client communication""', 'E""', 'Attention to detail""', 'Multitasking""', 'Legal terminology""', 'Technology proficiency""', 'Communication skills""', 'Legal software proficiency]""]]]]]']",Assist attorneys in preparing for trials and hearings. Organize and manage legal documents and exhibits. Interview clients and witnesses.,Sirius XM Holdings Inc.,"{""Sector"":""Telecommunications/Radio"",""Industry"":""Entertainment - Satellite Radio"",""City"":""New York"",""State"":""NY"",""Zip"":""10020"",""Website"":""https://www.siriusxm.com/"",""Ticker"":""SIRI"",""CEO"":""Jennifer C. Witz""}","Paralegal Assist attorneys in preparing for trials and hearings. Organize and manage legal documents and exhibits. Interview clients and witnesses. Legal research Discovery management Case preparation Trial support Document review Client communication E, filing Attention to detail Multitasking Legal terminology Technology proficiency Communication skills Legal software proficiency",Legal & Social Services,Legal Services,94.0,2022Q1
374879,777697000000000.0,0 to 9 Years,PhD,43,55,98,Singapore,Intern,49817,2022-11-04,9,Legal Assistant,Paralegal,Internships.com,"Assist lawyers with legal research, document preparation, and case management in law firms or legal departments.","Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance","['Legal research""', 'Document drafting""', 'Case management""', 'E""', 'Legal databases""', 'Lexis""', 'Nexis""', 'Client communication""', 'Deposition preparation""', 'Trial support""', 'Ethics and confidentiality""', 'Attention to detail""', 'Communication skills""', 'Legal software proficiency]""]]]]]']","Assist lawyers in legal research, document preparation, and case management. Draft legal documents and pleadings. Organize and maintain case files.",Coal India Limited,"{""Sector"":""Mining"",""Industry"":""Mining"",""City"":""Kolkata"",""State"":""West Bengal"",""Zip"":""700001"",""Website"":""https://www.coalindia.in/"",""Ticker"":""COALINDIA"",""CEO"":""Pramod Agrawal""}","Legal Assistant Assist lawyers in legal research, document preparation, and case management. Draft legal documents and pleadings. Organize and maintain case files. Legal research Document drafting Case management E, filing Legal databases , e, g,  LexisNexis,  Client communication Deposition preparation Trial support Ethics and confidentiality Attention to detail Communication skills Legal software proficiency",Legal & Social Services,Legal Services,76.5,2022Q4
376770,2741839564913389.0,2 to 10 Years,M.Tech,64,64,128,Singapore,Temporary,56945,2022-04-05,9,Legal Advisor,Legal Counsel,LinkedIn,"As a Legal Counsel, your responsibilities include providing legal advice, drafting contracts, and ensuring compliance with laws and regulations. You will represent the company in legal matters, negotiate agreements, and mitigate legal risks. Your role involves staying informed about changes in the law and advising management on legal issues affecting the business.","Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts","['Legal counsel""', 'Legal advice""', 'Contract negotiation""', 'Legal research""', 'Litigation support""', 'Client representation""', 'Legal writing""', 'Regulatory compliance]""]]]]]']","Provide legal advice and counsel to individuals, businesses, or organizations on various legal matters. Draft legal documents, contracts, and agreements. Represent clients in negotiations and legal proceedings.",Bharti Infratel,"{""Sector"":""Telecommunications"",""Industry"":""Telecommunications"",""City"":""New Delhi"",""State"":""DL"",""Zip"":""110 002"",""Website"":""www.bharti-infratel.com"",""Ticker"":""INFRATEL"",""CEO"":""Bimal Dayal""}","Legal Advisor Provide legal advice and counsel to individuals, businesses, or organizations on various legal matters. Draft legal documents, contracts, and agreements. Represent clients in negotiations and legal proceedings. Legal counsel Legal advice Contract negotiation Legal research Litigation support Client representation Legal writing Regulatory compliance",Legal & Social Services,Legal Services,96.0,2022Q2
378497,2155576649521586.0,1 to 15 Years,BBA,58,58,116,Singapore,Intern,35681,2022-02-06,9,Legal Secretary,Legal Assistant,Idealist,"A Legal Assistant supports legal professionals by performing administrative and research tasks, organizing legal documents, and assisting with legal proceedings and documentation.","Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities","['Legal research""', 'Document drafting""', 'Communication skills""', 'Legal software proficiency""', 'Attention to detail]""]]]]]']","Provide administrative support to legal professionals, including document preparation and filing. Maintain legal files and records. Schedule appointments and manage calendars.",Thor Industries,"{""Sector"":""Recreational Vehicles"",""Industry"":""Motor Vehicles & Parts"",""City"":""Elkhart"",""State"":""Indiana"",""Zip"":""46514"",""Website"":""www.thorindustries.com"",""Ticker"":""THO"",""CEO"":""""}","Legal Secretary Provide administrative support to legal professionals, including document preparation and filing. Maintain legal files and records. Schedule appointments and manage calendars. Legal research Document drafting Communication skills Legal software proficiency Attention to detail",Legal & Social Services,Legal Services,87.0,2022Q1
380740,2841803399340521.0,2 to 14 Years,BA,69,61,130,Singapore,Temporary,19662,2022-08-05,9,Litigation Attorney,Family Law Attorney,Jobs2Careers,"Family Law Attorneys deal with legal matters related to family relationships. They handle cases like divorce, child custody, adoption, and domestic disputes to provide legal guidance.","Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development","['Family law""', 'Divorce proceedings""', 'Child custody""', 'Mediation""', 'Legal counseling""', 'Court representation]""]]]]]']","Specialize in family law matters, such as divorce, child custody, and adoption. Advocate for clients in family court proceedings. Offer legal advice and mediation services.",3i Group,"{""Sector"":""Financial Services"",""Industry"":""Financial Services - Investment"",""City"":""London"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""www.3i.com"",""Ticker"":""III.L"",""CEO"":""Simon Borrows""}","Litigation Attorney Specialize in family law matters, such as divorce, child custody, and adoption. Advocate for clients in family court proceedings. Offer legal advice and mediation services. Family law Divorce proceedings Child custody Mediation Legal counseling Court representation",Legal & Social Services,Legal Services,95.5,2022Q3
381841,2010376762734436.0,4 to 8 Years,MBA,37,58,95,Singapore,Intern,90277,2022-05-01,9,Legal Secretary,Legal Assistant,Jobs2Careers,"A Legal Assistant supports legal professionals by performing administrative and research tasks, organizing legal documents, and assisting with legal proceedings and documentation.","Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling","['Legal research""', 'Document drafting""', 'Communication skills""', 'Legal software proficiency""', 'Attention to detail]""]]]]]']","Provide administrative support to legal professionals, including document preparation and filing. Maintain legal files and records. Schedule appointments and manage calendars.",United Natural Foods,"{""Sector"":""Food and Beverage"",""Industry"":""Wholesalers: Food and Grocery"",""City"":""Providence"",""State"":""Rhose Island"",""Zip"":""2908"",""Website"":""www.unfi.com"",""Ticker"":""UNFI"",""CEO"":""Sandy Douglas""}","Legal Secretary Provide administrative support to legal professionals, including document preparation and filing. Maintain legal files and records. Schedule appointments and manage calendars. Legal research Document drafting Communication skills Legal software proficiency Attention to detail",Legal & Social Services,Legal Services,76.5,2022Q2
384533,1602879525678360.0,5 to 8 Years,MCA,69,55,124,Singapore,Temporary,109762,2022-09-27,9,Litigation Attorney,Corporate Litigator,USAJOBS,"Corporate Litigators specialize in corporate law. They handle legal matters related to businesses, such as mergers, acquisitions, contracts, and disputes, to protect corporate interests.","Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)","['Corporate law""', 'Commercial litigation""', 'Dispute resolution""', 'Contract law""', 'Legal strategy""', 'Negotiation]""]]]]]']","Focus on corporate legal matters, including contracts, disputes, and compliance. Provide legal counsel to businesses and organizations. Handle litigation involving corporate interests.",Amgen,"{""Sector"":""Healthcare"",""Industry"":""Pharmaceuticals"",""City"":""Thousand Oaks"",""State"":""California"",""Zip"":""91320"",""Website"":""www.amgen.com"",""Ticker"":""AMGN"",""CEO"":""Robert A. Bradway""}","Litigation Attorney Focus on corporate legal matters, including contracts, disputes, and compliance. Provide legal counsel to businesses and organizations. Handle litigation involving corporate interests. Corporate law Commercial litigation Dispute resolution Contract law Legal strategy Negotiation",Legal & Social Services,Legal Services,89.5,2022Q3
394462,1534797872583823.0,1 to 11 Years,B.Tech,42,58,100,Singapore,Full-Time,37855,2021-10-25,9,Legal Counsel,Corporate Attorney,Stack Overflow Jobs,"Corporate Attorneys provide legal counsel and representation to organizations. They handle legal matters, contracts, mergers, acquisitions, and ensure compliance with laws and regulations relevant to the business.","Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance","['Corporate law and regulations""', 'Contract drafting and negotiation""', 'Legal research and analysis""', 'Risk management""', 'Excellent communication and negotiation skills]""]]]]]']","Provide legal advice and guidance on corporate matters, contracts, and regulatory compliance. Draft and review legal documents and agreements. Represent the company in legal proceedings.",United Services Automobile Assn.,"{""Sector"":""Insurance"",""Industry"":""Insurance: Property and Casualty (Stock)"",""City"":""San Antonio"",""State"":""Texas"",""Zip"":""78288"",""Website"":""www.usaa.com"",""Ticker"":"""",""CEO"":""Wayne Peacock""}","Legal Counsel Provide legal advice and guidance on corporate matters, contracts, and regulatory compliance. Draft and review legal documents and agreements. Represent the company in legal proceedings. Corporate law and regulations Contract drafting and negotiation Legal research and analysis Risk management Excellent communication and negotiation skills",Legal & Social Services,Legal Services,79.0,2021Q4
398130,376174000000000.0,4 to 8 Years,MCA,68,61,129,Singapore,Contract,116693,2022-09-20,9,Litigation Attorney,Family Law Attorney,LinkedIn,"Family Law Attorneys deal with legal matters related to family relationships. They handle cases like divorce, child custody, adoption, and domestic disputes to provide legal guidance.","Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities","['Family law""', 'Divorce proceedings""', 'Child custody""', 'Mediation""', 'Legal counseling""', 'Court representation]""]]]]]']","Specialize in family law matters, such as divorce, child custody, and adoption. Advocate for clients in family court proceedings. Offer legal advice and mediation services.",Chesapeake Energy,"{""Sector"":""Energy"",""Industry"":""Mining, Crude-Oil Production"",""City"":""Oklahoma City"",""State"":""Oklahoma"",""Zip"":""73118"",""Website"":""www.chk.com"",""Ticker"":""CHK"",""CEO"":""Nick Dell'Osso""}","Litigation Attorney Specialize in family law matters, such as divorce, child custody, and adoption. Advocate for clients in family court proceedings. Offer legal advice and mediation services. Family law Divorce proceedings Child custody Mediation Legal counseling Court representation",Legal & Social Services,Legal Services,95.0,2022Q3
399138,1214474472680717.0,3 to 14 Years,BA,43,64,107,Singapore,Temporary,120932,2022-04-11,9,Substance Abuse Counselor,Addiction Counselor,The Muse,"An Addiction Counselor provides support and therapy to individuals struggling with addiction, helping them overcome substance abuse and develop healthier coping strategies.","Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)","['Addiction counseling techniques""', 'Substance abuse treatment""', 'Counseling ethics]""]]]]]']",Provide counseling and support to individuals struggling with substance abuse issues. Conduct assessments and develop treatment plans. Facilitate group therapy sessions.,Brighthouse Financial,"{""Sector"":""Insurance"",""Industry"":""Insurance: Life, Health (Stock)"",""City"":""Charlotte"",""State"":""North Carolina"",""Zip"":""28277"",""Website"":""www.brighthousefinancial.com"",""Ticker"":""BHF"",""CEO"":""""}",Substance Abuse Counselor Provide counseling and support to individuals struggling with substance abuse issues. Conduct assessments and develop treatment plans. Facilitate group therapy sessions. Addiction counseling techniques Substance abuse treatment Counseling ethics,Legal & Social Services,Legal Services,85.5,2022Q2
399426,2536669987813749.0,0 to 8 Years,PhD,23,57,80,Singapore,Contract,51041,2021-07-11,9,Paralegal,Real Estate Paralegal,FlexJobs,"Assist in real estate transactions, including title searches, closings, and contract preparation.","Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)","['Real estate transactions""', 'Title searches""', 'Closing processes""', 'Deed preparation""', 'Contract review""', 'Communication with real estate professionals""', 'Attention to detail""', 'Real estate terminology""', 'Technology proficiency""', 'Legal software proficiency""', 'Legal research skills]""]]]]]']","Specialize in real estate transactions, including title searches, closings, and document preparation. Research property records and zoning regulations. Coordinate real estate transactions.",Valero Energy,"{""Sector"":""Energy"",""Industry"":""Petroleum Refining"",""City"":""San Antonio"",""State"":""Texas"",""Zip"":""78249"",""Website"":""www.valero.com"",""Ticker"":""VLO"",""CEO"":""Joseph W. Gorder""}","Paralegal Specialize in real estate transactions, including title searches, closings, and document preparation. Research property records and zoning regulations. Coordinate real estate transactions. Real estate transactions Title searches Closing processes Deed preparation Contract review Communication with real estate professionals Attention to detail Real estate terminology Technology proficiency Legal software proficiency Legal research skills",Legal & Social Services,Legal Services,68.5,2021Q3
406017,1485853345688026.0,5 to 12 Years,BA,63,63,126,Singapore,Intern,119947,2021-03-11,9,Substance Abuse Counselor,Family Counselor,Jobs2Careers,"A Family Counselor works with families to address interpersonal issues, improve communication, and resolve conflicts, fostering healthier family dynamics.","Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance","['Family counseling""', 'Marriage and family therapy""', 'Conflict resolution skills]""]]]]]']",Work with the families of individuals facing substance abuse challenges. Provide education and therapy to improve family dynamics and support networks. Collaborate with treatment teams.,Morrison Supermarkets,"{""Sector"":""Retail"",""Industry"":""Retail - Food & Drug"",""City"":""Bradford"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""www.morrisons.com"",""Ticker"":""MRW.L"",""CEO"":""David Potts""}",Substance Abuse Counselor Work with the families of individuals facing substance abuse challenges. Provide education and therapy to improve family dynamics and support networks. Collaborate with treatment teams. Family counseling Marriage and family therapy Conflict resolution skills,Legal & Social Services,Legal Services,94.5,2021Q1
406306,498558000000000.0,4 to 11 Years,BBA,39,63,102,Singapore,Part-Time,59538,2023-02-02,9,Legal Assistant,Paralegal,Snagajob,"Assist lawyers with legal research, document preparation, and case management in law firms or legal departments.","Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling","['Legal research""', 'Document drafting""', 'Case management""', 'E""', 'Legal databases""', 'Lexis""', 'Nexis""', 'Client communication""', 'Deposition preparation""', 'Trial support""', 'Ethics and confidentiality""', 'Attention to detail""', 'Communication skills""', 'Legal software proficiency]""]]]]]']","Assist lawyers in legal research, document preparation, and case management. Draft legal documents and pleadings. Organize and maintain case files.",Lowe's,"{""Sector"":""Retail"",""Industry"":""Specialty Retailers: Other"",""City"":""Mooresville"",""State"":""North Carolina"",""Zip"":""28117"",""Website"":""www.lowes.com"",""Ticker"":""LOW"",""CEO"":""Marvin R. Ellison""}","Legal Assistant Assist lawyers in legal research, document preparation, and case management. Draft legal documents and pleadings. Organize and maintain case files. Legal research Document drafting Case management E, filing Legal databases , e, g,  LexisNexis,  Client communication Deposition preparation Trial support Ethics and confidentiality Attention to detail Communication skills Legal software proficiency",Legal & Social Services,Legal Services,82.5,2023Q1
409993,2317993624054428.0,1 to 11 Years,BCA,50,60,110,Singapore,Part-Time,25237,2021-10-29,9,Legal Assistant,Litigation Support Specialist,Monster,"Assist in the preparation of litigation cases, manage electronic discovery, and handle technical aspects of trial preparation.","Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts","['E""', 'Document review and production""', 'Litigation support software""', 'Relativity""', 'Data analysis""', 'Case management""', 'Communication with legal teams""', 'Technical proficiency""', 'Attention to detail""', 'Problem""', 'Legal research skills]""]]]]]']","Specialize in eDiscovery and managing electronic documents for litigation. Collect, review, and produce electronic evidence. Collaborate with legal teams on case strategies.",Commonwealth Bank of Australia,"{""Sector"":""Banking"",""Industry"":""Banking/Financial Services"",""City"":""Sydney"",""State"":""NSW"",""Zip"":""2000"",""Website"":""https://www.commbank.com.au/"",""Ticker"":""CBA"",""CEO"":""Matt Comyn""}","Legal Assistant Specialize in eDiscovery and managing electronic documents for litigation. Collect, review, and produce electronic evidence. Collaborate with legal teams on case strategies. E, discovery tools and processes Document review and production Litigation support software , e, g,  Relativity,  Data analysis Case management Communication with legal teams Technical proficiency Attention to detail Problem, solving Legal research skills",Legal & Social Services,Legal Services,85.0,2021Q4
411615,58950400000000.0,4 to 14 Years,B.Tech,49,61,110,Singapore,Contract,29956,2022-07-23,9,Litigation Attorney,Family Law Attorney,Monster,"Family Law Attorneys deal with legal matters related to family relationships. They handle cases like divorce, child custody, adoption, and domestic disputes to provide legal guidance.","Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling","['Family law""', 'Divorce proceedings""', 'Child custody""', 'Mediation""', 'Legal counseling""', 'Court representation]""]]]]]']","Specialize in family law matters, such as divorce, child custody, and adoption. Advocate for clients in family court proceedings. Offer legal advice and mediation services.",Vertex Pharmaceuticals,"{""Sector"":""Healthcare"",""Industry"":""Pharmaceuticals"",""City"":""Boston"",""State"":""Massachusetts"",""Zip"":""2210"",""Website"":""www.vrtx.com"",""Ticker"":""VRTX"",""CEO"":""Reshma Kewalramani""}","Litigation Attorney Specialize in family law matters, such as divorce, child custody, and adoption. Advocate for clients in family court proceedings. Offer legal advice and mediation services. Family law Divorce proceedings Child custody Mediation Legal counseling Court representation",Legal & Social Services,Legal Services,85.5,2022Q3
413981,316383000000000.0,2 to 9 Years,MCA,55,58,113,Singapore,Temporary,112695,2022-03-01,9,Social Worker,School Social Worker,Internships.com,"Support students social and emotional well-being in schools, collaborate with educators, and connect families with resources.","Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans","['School social work principles""', 'Student assessment and intervention""', 'Special education laws""', 'Individualized education plans""', 'I""', 'E""', 'Ps""', 'Crisis management""', 'Collaboration with educators""', 'Family engagement""', 'Advocacy""', 'Empathy and communication""', 'Documentation""', 'Cultural competence""', 'Licensing and certification]""]]]]]']",Collaborate with schools to support students academic and social needs. Conduct assessments and provide counseling and resources. Advocate for students and families.,Hikvision,"{""Sector"":""Technology and Security"",""Industry"":""Technology & Security"",""City"":""Hangzhou"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""https://www.hikvision.com/"",""Ticker"":""2415"",""CEO"":""Chen Zongnian""}","Social Worker Collaborate with schools to support students academic and social needs. Conduct assessments and provide counseling and resources. Advocate for students and families. School social work principles Student assessment and intervention Special education laws Individualized education plans , IEPs,  Crisis management Collaboration with educators Family engagement Advocacy Empathy and communication Documentation Cultural competence Licensing and certification",Legal & Social Services,Legal Services,85.5,2022Q1
417837,2694913887275528.0,1 to 11 Years,M.Com,66,56,122,Singapore,Part-Time,132168,2022-08-01,9,Legal Advisor,Legal Counsel,LinkedIn,"As a Legal Counsel, your responsibilities include providing legal advice, drafting contracts, and ensuring compliance with laws and regulations. You will represent the company in legal matters, negotiate agreements, and mitigate legal risks. Your role involves staying informed about changes in the law and advising management on legal issues affecting the business.","Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development","['Legal counsel""', 'Legal advice""', 'Contract negotiation""', 'Legal research""', 'Litigation support""', 'Client representation""', 'Legal writing""', 'Regulatory compliance]""]]]]]']","Provide legal advice and counsel to individuals, businesses, or organizations on various legal matters. Draft legal documents, contracts, and agreements. Represent clients in negotiations and legal proceedings.",Western Union Company,"{""Sector"":""Financial Services/Remittances"",""Industry"":""Financial Services"",""City"":""Denver"",""State"":""CO"",""Zip"":""80202"",""Website"":""https://www.westernunion.com/"",""Ticker"":""WU"",""CEO"":""Hikmet Ersek""}","Legal Advisor Provide legal advice and counsel to individuals, businesses, or organizations on various legal matters. Draft legal documents, contracts, and agreements. Represent clients in negotiations and legal proceedings. Legal counsel Legal advice Contract negotiation Legal research Litigation support Client representation Legal writing Regulatory compliance",Legal & Social Services,Legal Services,89.0,2022Q3
431805,2536439019624734.0,1 to 11 Years,MBA,58,62,120,Singapore,Full-Time,56884,2021-09-15,9,Legal Advisor,Corporate Counsel,LinkedIn,"As a Corporate Counsel, you will focus on legal matters related to corporate governance, mergers and acquisitions, and corporate compliance. You will draft and review corporate documents, oversee compliance programs, and handle complex legal negotiations. Your role includes managing legal relationships with external partners and providing strategic legal guidance to the company.","Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling","['Corporate law""', 'Compliance""', 'Mergers and acquisitions""', 'Corporate governance""', 'Contract drafting""', 'Risk management""', 'Legal strategy""', 'Due diligence]""]]]]]']","Specialize in corporate law, advising companies on legal compliance, mergers and acquisitions, and corporate governance. Ensure legal risk mitigation and compliance with corporate regulations. Handle corporate transactions and contracts.",Great Wall Motors,"{""Sector"":""Automotive"",""Industry"":""Automotive"",""City"":""Baoding"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""http://www.gwm-global.com/"",""Ticker"":""2333.HK"",""CEO"":""Wei Jianjun""}","Legal Advisor Specialize in corporate law, advising companies on legal compliance, mergers and acquisitions, and corporate governance. Ensure legal risk mitigation and compliance with corporate regulations. Handle corporate transactions and contracts. Corporate law Compliance Mergers and acquisitions Corporate governance Contract drafting Risk management Legal strategy Due diligence",Legal & Social Services,Legal Services,91.0,2021Q3
433904,347822000000000.0,5 to 8 Years,M.Tech,61,57,118,Singapore,Temporary,87664,2022-11-07,9,Legal Advisor,Legal Counsel,Monster,"As a Legal Counsel, your responsibilities include providing legal advice, drafting contracts, and ensuring compliance with laws and regulations. You will represent the company in legal matters, negotiate agreements, and mitigate legal risks. Your role involves staying informed about changes in the law and advising management on legal issues affecting the business.","Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities","['Legal counsel""', 'Legal advice""', 'Contract negotiation""', 'Legal research""', 'Litigation support""', 'Client representation""', 'Legal writing""', 'Regulatory compliance]""]]]]]']","Provide legal advice and counsel to individuals, businesses, or organizations on various legal matters. Draft legal documents, contracts, and agreements. Represent clients in negotiations and legal proceedings.",World Fuel Services,"{""Sector"":""Energy"",""Industry"":""Energy"",""City"":""Miami"",""State"":""Florida"",""Zip"":""33178"",""Website"":""www.wfscorp.com"",""Ticker"":""INT"",""CEO"":""Michael J. Kasbar""}","Legal Advisor Provide legal advice and counsel to individuals, businesses, or organizations on various legal matters. Draft legal documents, contracts, and agreements. Represent clients in negotiations and legal proceedings. Legal counsel Legal advice Contract negotiation Legal research Litigation support Client representation Legal writing Regulatory compliance",Legal & Social Services,Legal Services,87.5,2022Q4
435899,2749078728888167.0,3 to 9 Years,BCA,64,60,124,Singapore,Intern,35314,2023-06-15,9,Family Lawyer,Child Custody Lawyer,Dice,"Child Custody Lawyers specialize in family law, focusing on cases related to child custody and visitation rights. They represent clients in court, provide legal counsel, and advocate for the best interests of children in custody disputes.","Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts","['Child custody law""', 'Family law""', 'Legal advocacy""', 'Negotiation""', 'Court representation""', 'Legal research""', 'Client counseling""', 'Case preparation]""]]]]]']","Specialize in child custody cases, advocating for the best interests of children. Conduct investigations, gather evidence, and present cases in court. Negotiate parenting plans and visitation schedules.",Northern Trust,"{""Sector"":""Financial Services"",""Industry"":""Commercial Banks"",""City"":""Chicago"",""State"":""Illinois"",""Zip"":""60603"",""Website"":""www.northerntrust.com"",""Ticker"":""NTRS"",""CEO"":""Michael G. O'Grady""}","Family Lawyer Specialize in child custody cases, advocating for the best interests of children. Conduct investigations, gather evidence, and present cases in court. Negotiate parenting plans and visitation schedules. Child custody law Family law Legal advocacy Negotiation Court representation Legal research Client counseling Case preparation",Legal & Social Services,Legal Services,92.0,2023Q2
436829,225934000000000.0,4 to 14 Years,B.Tech,52,65,117,Singapore,Full-Time,80411,2022-07-05,9,Legal Advisor,In-House Counsel,The Muse,"In the role of In-House Counsel, you will provide legal support to the organization across various areas, including contracts, employment law, and regulatory compliance. You will draft legal documents, handle litigation matters, and advise on legal risks affecting day-to-day operations. Your role is crucial in ensuring the company operates within the bounds of the law.","Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development","['In""', 'Legal advisory""', 'Employment law""', 'Intellectual property""', 'Regulatory compliance""', 'Dispute resolution""', 'Contract review""', 'Client counseling]""]]]]]']","Serve as in-house legal counsel for organizations, managing legal issues and contracts internally. Provide legal training to staff and address legal questions and concerns.",ODP,"{""Sector"":""Retail"",""Industry"":""Specialty Retailers: Other"",""City"":""Boca Raton"",""State"":""Florida"",""Zip"":""33496"",""Website"":""www.theodpcorp.com"",""Ticker"":""ODP"",""CEO"":""Gerry P. Smith""}","Legal Advisor Serve as in-house legal counsel for organizations, managing legal issues and contracts internally. Provide legal training to staff and address legal questions and concerns. In, house counsel Legal advisory Employment law Intellectual property Regulatory compliance Dispute resolution Contract review Client counseling",Legal & Social Services,Legal Services,91.0,2022Q3
445755,356438000000000.0,2 to 14 Years,M.Tech,46,64,110,Singapore,Contract,30137,2022-07-23,9,Legal Advisor,Corporate Counsel,Stack Overflow Jobs,"As a Corporate Counsel, you will focus on legal matters related to corporate governance, mergers and acquisitions, and corporate compliance. You will draft and review corporate documents, oversee compliance programs, and handle complex legal negotiations. Your role includes managing legal relationships with external partners and providing strategic legal guidance to the company.","Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance","['Corporate law""', 'Compliance""', 'Mergers and acquisitions""', 'Corporate governance""', 'Contract drafting""', 'Risk management""', 'Legal strategy""', 'Due diligence]""]]]]]']","Specialize in corporate law, advising companies on legal compliance, mergers and acquisitions, and corporate governance. Ensure legal risk mitigation and compliance with corporate regulations. Handle corporate transactions and contracts.",Penske Automotive Group,"{""Sector"":""Automotive"",""Industry"":""Automotive Retailing, Services"",""City"":""Bloomfield Hills"",""State"":""Michigan"",""Zip"":""48302"",""Website"":""www.penskeautomotive.com"",""Ticker"":""PAG"",""CEO"":""Roger S. Penske""}","Legal Advisor Specialize in corporate law, advising companies on legal compliance, mergers and acquisitions, and corporate governance. Ensure legal risk mitigation and compliance with corporate regulations. Handle corporate transactions and contracts. Corporate law Compliance Mergers and acquisitions Corporate governance Contract drafting Risk management Legal strategy Due diligence",Legal & Social Services,Legal Services,87.0,2022Q3
452360,1922820695346483.2,5 to 12 Years,MCA,47,65,112,Singapore,Full-Time,85683,2022-12-13,9,Legal Advisor,Legal Counsel,Idealist,"As a Legal Counsel, your responsibilities include providing legal advice, drafting contracts, and ensuring compliance with laws and regulations. You will represent the company in legal matters, negotiate agreements, and mitigate legal risks. Your role involves staying informed about changes in the law and advising management on legal issues affecting the business.","Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development","['Legal counsel""', 'Legal advice""', 'Contract negotiation""', 'Legal research""', 'Litigation support""', 'Client representation""', 'Legal writing""', 'Regulatory compliance]""]]]]]']","Provide legal advice and counsel to individuals, businesses, or organizations on various legal matters. Draft legal documents, contracts, and agreements. Represent clients in negotiations and legal proceedings.",Metro AG,"{""Sector"":""Retail"",""Industry"":""Retail"",""City"":""D sseldorf"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""www.metroag.de"",""Ticker"":""B4B"",""CEO"":""Steffen Greubel""}","Legal Advisor Provide legal advice and counsel to individuals, businesses, or organizations on various legal matters. Draft legal documents, contracts, and agreements. Represent clients in negotiations and legal proceedings. Legal counsel Legal advice Contract negotiation Legal research Litigation support Client representation Legal writing Regulatory compliance",Legal & Social Services,Legal Services,88.5,2022Q4
